"ID","A1B1","A1B2","A1B3","A2B1","A2B2","A2B3","A3B1","A3B2","A4B1","A4B2","NONE"
35,14.8377050128492,-2.82237493319731,-12.0153300796519,9.95871329634565,-4.18679307241388,-5.77192022393178,-5.12419742759985,5.12419742759985,-3.15228872288974,3.15228872288974,12.3166961625958
36,11.2668049149868,-1.62748698396363,-9.63931793102318,8.12934998131762,-3.20249527470367,-4.92685470661395,-3.7048982449299,3.7048982449299,-2.47106205021707,2.47106205021707,12.4179937973137
37,12.6217520842458,-2.06165412941716,-10.5600979548286,9.32610564396167,-4.59753322840808,-4.72857241555359,-3.14507224008128,3.14507224008128,-1.95112227860008,1.95112227860008,12.2608322657343
38,13.8842769653616,-2.36826377864106,-11.5160131867205,9.93573344621666,-4.8492071229733,-5.08652632324336,-4.06239568126287,4.06239568126287,-2.78585148683821,2.78585148683821,11.7375340861079
39,14.3116073745284,-2.59267162115157,-11.7189357533769,9.63437974989606,-5.01890596289669,-4.61547378699937,-4.43531668028776,4.43531668028776,-2.68900255168209,2.68900255168209,11.6305459609078
40,15.7420202782659,-2.65859384958142,-13.0834264286845,10.780266868637,-3.82487282438083,-6.95539404425619,-5.45253475602001,5.45253475602001,-4.56739569250078,4.56739569250078,11.8093839189032
41,15.6844772528588,-3.23681035459769,-12.4476668982611,10.9883193553529,-5.28103088535525,-5.70728846999766,-5.62182769319161,5.62182769319161,-3.87279214858056,3.87279214858056,12.1914287352949
42,14.4555572153407,-2.72348894116979,-11.7320682741709,10.2248349142078,-4.41918247227887,-5.80565244192895,-4.6300672019703,4.6300672019703,-3.40561905868484,3.40561905868484,12.0469496042093
43,11.7972548327915,-2.28954153701126,-9.50771329578023,7.10465017488315,-3.86777559140514,-3.23687458347801,-0.638546044222618,0.638546044222618,-1.24195830267819,1.24195830267819,10.1570901671057
44,16.1761543688635,-3.13708453265747,-13.039069836206,10.2376740050727,-5.69004367444604,-4.54763033062661,-5.33928806109506,5.33928806109506,-3.67660643175603,3.67660643175603,10.9635218611391
45,15.8809972092361,-3.03782207361169,-12.8431751356244,10.431911911897,-4.98417541011799,-5.44773650177905,-4.47712263349531,4.47712263349531,-3.71711720626271,3.71711720626271,12.1809798979164
46,14.9594222209662,-2.8505122757239,-12.1089099452423,10.3562559048017,-4.49139495930184,-5.86486094549991,-4.87196609626834,4.87196609626834,-3.29162374722907,3.29162374722907,12.7376267127185
47,13.5016249973059,-2.79889035904202,-10.7027346382639,8.34851137265716,-4.25831990511411,-4.09019146754305,-3.12816242003814,3.12816242003814,-1.21215368305126,1.21215368305126,11.2987094946528
48,13.1814572577481,-2.6627404256345,-10.5187168321136,8.76176778865619,-4.27131173408008,-4.49045605457611,-3.11237320883631,3.11237320883631,-2.11252084662575,2.11252084662575,12.1289993997595
49,15.8799120372945,-2.60718071281,-13.2727313244845,11.6038577133033,-5.0204483674553,-6.58340934584797,-6.11570335910441,6.11570335910441,-4.73190554744031,4.73190554744031,12.4679487631937
50,16.1189908312268,-2.88155359329716,-13.2374372379297,10.2153245332779,-3.94312187215103,-6.27220266112686,-5.96704073782058,5.96704073782058,-4.39949825058442,4.39949825058442,10.3668301956044
51,-0.190512968443448,0.541190786306202,-0.350677817862754,-1.9898267429332,-4.20656608904744,6.19639283198064,10.7362358552044,-10.7362358552044,12.3197102837979,-12.3197102837979,9.01156696117692
52,0.813044859860479,0.611628360674476,-1.42467322053496,-0.722808388856528,-3.7028401209735,4.42564850983003,10.2511573109178,-10.2511573109178,10.8972961051385,-10.8972961051385,11.1578494418789
53,1.40644827581173,-0.0103439975888167,-1.39610427822291,-0.133804816624275,-3.91195541808129,4.04576023470556,9.66424961178868,-9.66424961178868,10.459473560216,-10.459473560216,11.4270855971688
54,0.0891007783407819,0.540097758414411,-0.629198536755192,-0.931051724304405,-3.34425469259641,4.27530641690081,10.5657145835995,-10.5657145835995,10.8170478818931,-10.8170478818931,10.7692197128641
55,2.0027012270278,0.0967851706550065,-2.09948639768281,-1.32476862002274,-3.79296731437077,5.11773593439352,9.42808288344667,-9.42808288344667,10.8115482759869,-10.8115482759869,9.64126381855736
56,2.58114623247359,-0.49850869217168,-2.08263754030191,-0.454881663238324,-4.30531277373318,4.7601944369715,8.37754062245213,-8.37754062245213,10.0491536796548,-10.0491536796548,9.65366285439167
57,0.885874150633067,0.0926699201754842,-0.978544070808551,-0.99084254281436,-3.20554378368865,4.19638632650301,9.96199651428188,-9.96199651428188,10.6113710428707,-10.6113710428707,10.8179237735207
58,0.306579128769415,-0.296304797126422,-0.010274331642993,-1.50325889657704,-3.18022646115423,4.68348535773127,10.8063108654488,-10.8063108654488,11.0432947996311,-11.0432947996311,10.937912935346
59,-0.38159513894029,0.152033930940283,0.229561208000007,-1.89621331182611,-3.2578608653912,5.15407417721731,11.3317460925597,-11.3317460925597,11.4912015614195,-11.4912015614195,10.6865710672703
60,0.807753223133145,0.118809714477828,-0.926562937610973,-0.996561996548624,-2.96144674534486,3.95800874189349,10.2791332678551,-10.2791332678551,10.5656321539549,-10.5656321539549,10.755420880264
61,0.810603799836265,0.0744169646704544,-0.885020764506719,-0.597900749400924,-3.75021208587681,4.34811283527773,10.0137785147313,-10.0137785147313,10.5892436247962,-10.5892436247962,10.4341253136053
62,0.472073471448379,1.01900314005318,-1.49107661150156,-1.63949726253791,-2.69593797083682,4.33543523337473,10.4208161243433,-10.4208161243433,10.6184644453748,-10.6184644453748,10.7469918565302
63,2.26755090224783,-0.0839796619107716,-2.18357124033706,-1.37208820765917,-3.316646461624,4.68873466928317,8.74870662408962,-8.74870662408962,9.87307758013536,-9.87307758013536,9.50658063625582
64,3.72916193063535,-0.799828263683542,-2.92933366695181,0.221136346327735,-4.48604244110756,4.26490609477982,7.56233080333113,-7.56233080333113,8.81482206804699,-8.81482206804699,8.80820435196954
65,1.0802537731096,0.229771050998359,-1.31002482410796,-0.889281713396608,-3.42534264743675,4.31462436083336,9.6559404466254,-9.6559404466254,10.0461179654092,-10.0461179654092,10.5998590521094
66,0.0841570162961213,0.265390782540545,-0.349547798836666,-1.68169297485384,-3.15495976272604,4.83665273757988,10.6354266594382,-10.6354266594382,11.3695099794246,-11.3695099794246,10.5912908804802
67,1.32544383291244,-1.76760527212213,0.442161439209687,-1.61031308697695,-2.95197599755601,4.56228908453295,8.59603765836857,-8.59603765836857,7.17246560082839,-7.17246560082839,9.75047108147731
68,-0.431196639326703,0.456271824240413,-0.0250751849137102,-1.84794073057216,-2.75566999107602,4.60361072164818,10.9342952241451,-10.9342952241451,10.9587265944943,-10.9587265944943,10.3402828366946
69,0.292296621205341,1.06921170493308,-1.36150832613842,-1.21604589994767,-2.80731057110773,4.0233564710554,9.99142956407782,-9.99142956407782,10.2885958162295,-10.2885958162295,10.5129594758471
